content,score,reviewCreatedVersion,at,sentiment,sentiment_score
lancar ....bikin mudah bertransaksi,5,2.74.0,2024-12-10 10:37:20,LABEL_1,0.9989637136459351
Layanan nya semakin oke,5,2.74.0,2024-12-10 10:35:37,LABEL_1,0.9998260140419006
Mantap,5,2.72.0,2024-12-10 10:35:33,LABEL_1,0.9820002913475037
Sangat membantu,5,2.74.0,2024-12-10 10:34:47,LABEL_0,0.9348582029342651
Oke,5,2.74.0,2024-12-10 10:25:20,LABEL_0,0.9997300505638123
Sangat membantu,5,2.74.0,2024-12-10 10:21:37,LABEL_0,0.9348582029342651
Sangat baik,5,2.74.0,2024-12-10 10:16:31,LABEL_0,0.9998960494995117
Transaksi lebih mudah dan cepat,5,2.74.0,2024-12-10 10:16:02,LABEL_1,0.9994776844978333
"Mantap..memudahkan pembayaran listrik,air telp.dll..",5,2.74.0,2024-12-10 10:14:01,LABEL_1,0.999045193195343
Sangat membantu,5,2.74.0,2024-12-10 10:13:01,LABEL_0,0.9348582029342651
"Tambahin menu transfer ke rekning sendiri min,kayak bank2 lain,jd klo yg punya rekning lebih dri satu,terus klo atm satunya sudah limit, mau mindahin saldo nggak perlu tulis2 lg nomor rekning",4,2.74.0,2024-12-10 10:12:56,LABEL_1,0.6614261865615845
Sangat mudah dan membantu,5,2.74.0,2024-12-10 10:08:54,LABEL_1,0.9992423057556152
Oke lumayan bagus,5,2.74.0,2024-12-10 10:07:43,LABEL_0,0.9993528723716736
Sangat membantu,4,2.74.0,2024-12-10 10:05:49,LABEL_0,0.9348582029342651
Verifikasi wajah nya susah,2,2.74.0,2024-12-10 10:03:00,LABEL_0,0.9999202489852905
"cepat, tepat dan amanah",5,2.74.0,2024-12-10 09:58:49,LABEL_1,0.9939500093460083
Memudahkan sekali,5,2.74.0,2024-12-10 09:50:50,LABEL_0,0.9975534081459045
Mantap,5,2.74.0,2024-12-10 09:50:05,LABEL_1,0.9820002913475037
Cepat bagus,5,2.74.0,2024-12-10 09:39:30,LABEL_1,0.999757707118988
mantap,3,2.74.0,2024-12-10 09:38:54,LABEL_0,0.9989400506019592
Sangat bagus,5,2.74.0,2024-12-10 09:38:07,LABEL_0,0.999778687953949
"Bikin kecewa, banyak hack yang menjelajahi",1,2.74.0,2024-12-10 09:37:04,LABEL_0,0.9999029636383057
Jadi lebih mudah..,4,,2024-12-10 09:34:19,LABEL_1,0.9973487854003906
ok,5,,2024-12-10 09:29:40,LABEL_0,0.9999037981033325
Mudah bertransaksi,5,2.74.0,2024-12-10 09:27:47,LABEL_1,0.9996651411056519
Terbaik🤩🤩🙏👍🤟,5,,2024-12-10 09:27:37,LABEL_1,0.9998688697814941
Memudahkan transaksi,5,2.74.0,2024-12-10 09:24:51,LABEL_1,0.9989344477653503
Kerenn BRIMO,5,2.74.0,2024-12-10 09:23:19,LABEL_0,0.9976019263267517
Oke,2,2.72.0,2024-12-10 09:07:00,LABEL_0,0.9997300505638123
Bagus,5,2.74.0,2024-12-10 09:03:09,LABEL_1,0.9978862404823303
👍🏻,5,2.74.0,2024-12-10 09:02:32,LABEL_1,0.9997389912605286
Aplikasinya mohon ditingkatkan supaya akses untuk tunanetra yang menggunakan pembacalayar supaya bisa digunakan lebihbaik,3,2.74.0,2024-12-10 09:01:58,LABEL_0,0.9987154006958008
Alhmdllh sangat lah mudah saya suka sama brimo sangat membantu,5,2.74.0,2024-12-10 08:58:09,LABEL_1,0.999737560749054
Aplikasi sangat membantu,5,2.74.0,2024-12-10 08:57:29,LABEL_0,0.9998754262924194
Tap man,5,2.74.0,2024-12-10 08:55:23,LABEL_0,0.9998273849487305
"praktis, efisien, dan cepat biaya admin lebih hemat daripada transaksi via atm",5,2.74.0,2024-12-10 08:52:24,LABEL_1,0.9989774227142334
Alhamdulillah sangat membantu,5,2.74.0,2024-12-10 08:48:52,LABEL_1,0.9959920048713684
Semua vitur nya oke,5,2.74.0,2024-12-10 08:48:44,LABEL_1,0.9996682405471802
Terbaik,5,2.74.0,2024-12-10 08:45:39,LABEL_0,0.9998160004615784
"Terima kasih netizen pengguna Brimo atas sharing pengalaman. Bulan 11 dan 10 saya baca jadi ragu gunakan aplikasi ini. Mending manual aja datang ke ATM, sambil dengerin suara mesin yg hitung uang masuk atau keluar. Berasa jadi orang punya banyak uang😁😁😁😁",3,,2024-12-10 08:45:23,LABEL_1,0.9997841715812683
lebih mudah penggunaannya 👍,5,2.74.0,2024-12-10 08:41:31,LABEL_1,0.9995796084403992
Aplikasi bagus banget,5,2.74.0,2024-12-10 08:39:20,LABEL_1,0.5064444541931152
"Heran hampir dlm beberapa hari ad biaya potongan sms ,biaya potongannya lumayan jg kalo di gabungin 1bln jdi mnurut gw brimo ini membagongkan",1,2.64.0,2024-12-10 08:39:07,LABEL_0,0.9996941089630127
sangat membantu,5,2.74.0,2024-12-10 08:29:05,LABEL_0,0.9998587369918823
Username bikin bingung tiru bca kalo mau simple,1,2.74.0,2024-12-10 08:27:20,LABEL_0,0.9999297857284546
good,5,2.74.0,2024-12-10 08:26:16,LABEL_1,0.999810516834259
Lancar,5,2.74.0,2024-12-10 08:26:06,LABEL_0,0.9998180270195007
Mantap jiwa,5,2.74.0,2024-12-10 08:22:14,LABEL_1,0.9995144605636597
Transaksi cepat,5,2.74.0,2024-12-10 08:21:20,LABEL_1,0.999231219291687
Sangat membantu,5,2.74.0,2024-12-10 08:20:25,LABEL_0,0.9348582029342651
Praktis..& efisien,5,2.74.0,2024-12-10 08:20:21,LABEL_1,0.9998076558113098
Semua jadi mudah karna BRImo,5,2.74.0,2024-12-10 08:20:12,LABEL_1,0.9998182654380798
"Maaf, sy turunkan bintangnya. Dari kemarin mau Login selalu gagal. Padahal data sdh benar smua.",3,2.74.0,2024-12-10 08:19:02,LABEL_0,0.9999076128005981
Sangat membatu wort it untuk di download,5,,2024-12-10 08:10:52,LABEL_0,0.9999285936355591
menyenangkan Krn memudahkan transaksi,4,,2024-12-10 08:03:23,LABEL_1,0.9996668100357056
BRImo Mantap.,5,2.74.0,2024-12-10 07:55:03,LABEL_0,0.9987473487854004
Cepat aman dan mudah,4,2.74.0,2024-12-10 07:50:12,LABEL_1,0.9995473027229309
Bagus,5,2.74.0,2024-12-10 07:33:50,LABEL_1,0.9978862404823303
kadang cepat kadang lambat,5,,2024-12-10 07:31:33,LABEL_0,0.9998430013656616
simple & praktis,5,2.71.1,2024-12-10 07:27:46,LABEL_1,0.9998317956924438
Tidak ribet sanget mudah,5,,2024-12-10 07:12:41,LABEL_0,0.9998830556869507
kenapa saya tidak bosa verifikasi wajah padahl saya sudah mengizinkan kamera depan untuk verifikasi,1,2.74.0,2024-12-10 07:11:45,LABEL_0,0.99992835521698
Server keseringan down,1,2.74.0,2024-12-10 06:54:37,LABEL_0,0.9999104738235474
Sangat memudahkan pengguna,5,2.74.0,2024-12-10 06:25:25,LABEL_0,0.9998502731323242
Good jobb,5,2.74.0,2024-12-10 05:43:59,LABEL_1,0.999830961227417
Aplikasi jelek gw gagal Mulu verifikasi wajahdah berapa kali ulang lagi ulang gi ini aplikasi dah berapa kali gw install tetap aja verivikasi ngulang Mulu verifikasi siang malam gimnasih sistem harus di perbaiki gi tuh,1,2.74.0,2024-12-10 05:43:31,LABEL_0,0.999930739402771
Sangat membantu dengan memakai BRI mo,5,,2024-12-10 05:38:55,LABEL_0,0.5562863945960999
Simple,5,,2024-12-10 04:08:48,LABEL_0,0.9997405409812927
👍 sangat mudah di pahami,5,2.74.0,2024-12-10 03:51:09,LABEL_0,0.9999054670333862
Mudah buat pembayaran segalanya,5,2.74.0,2024-12-10 03:33:30,LABEL_0,0.9986829161643982
"Sangat membantu saya dalam menerima dan mengirim duit keorang lain,tidak perlu lagi ribet harus mencari atm",5,2.74.0,2024-12-10 03:23:28,LABEL_1,0.9991891980171204
BRImo mudah simpel sangat akurat,5,2.68.0,2024-12-10 03:13:09,LABEL_0,0.9998719692230225
mantap,5,2.74.0,2024-12-10 03:05:06,LABEL_0,0.9989400506019592
Sangat membantu dalam hal perbankan saya,4,2.74.0,2024-12-10 03:04:51,LABEL_1,0.9998107552528381
🙏,4,2.74.0,2024-12-10 03:04:19,LABEL_1,0.9998190999031067
"Cukup membantu ,simple",5,2.74.0,2024-12-10 02:43:59,LABEL_1,0.9855222702026367
Nggak jelas saya baru benerin password login lagi ehh keblokir lagi tolong di perbaiki saya sangat kecewa,1,2.74.0,2024-12-10 02:38:28,LABEL_0,0.9999265670776367
Mudah sangar membantu,5,2.74.0,2024-12-10 02:29:26,LABEL_0,0.9998574256896973
Nice,5,2.74.0,2024-12-10 02:28:13,LABEL_0,0.9996570348739624
Transaksi lebih cepat dan membantu,5,2.74.0,2024-12-10 02:20:43,LABEL_1,0.9996494054794312
Sangat profesional,5,2.74.0,2024-12-10 02:18:40,LABEL_0,0.9949855804443359
"Sangat membantu,cepat,mudah dan senang",5,,2024-12-10 02:15:23,LABEL_0,0.9989427924156189
Urusan di permudah dengan BRImo,5,2.74.0,2024-12-10 02:11:33,LABEL_0,0.9999088048934937
Baik,5,,2024-12-10 02:09:39,LABEL_0,0.8662340641021729
Terimakasih telah mempermudah transaksi brimo mantul,5,2.74.0,2024-12-10 01:59:23,LABEL_1,0.9997871518135071
Alhamdulillah sangat membantu sekali 👍👍👍,5,2.74.0,2024-12-10 01:56:53,LABEL_1,0.999826967716217
Ok,5,2.74.0,2024-12-10 01:50:58,LABEL_0,0.9997263550758362
Mantap,5,2.74.0,2024-12-10 01:48:17,LABEL_1,0.9820002913475037
Mantap,5,2.74.0,2024-12-10 01:45:14,LABEL_1,0.9820002913475037
GK berfungsi aplikasinya,1,2.72.0,2024-12-10 01:33:42,LABEL_0,0.999922513961792
bagus kalo ad saldonya kalo gadaa gaa jadi bagus,5,2.74.0,2024-12-10 01:12:27,LABEL_0,0.9983996748924255
Baik,5,2.72.0,2024-12-10 01:05:41,LABEL_0,0.8662340641021729
Oke good,5,,2024-12-10 00:51:53,LABEL_1,0.8538091778755188
Cepat dan simpel,5,2.74.0,2024-12-10 00:51:02,LABEL_1,0.9997296929359436
"Aplikasinya sudah bagus,dan sudah berkali-kali saya menyarankan untuk menyertakan sisa saldo di mutasi rekening.",1,2.74.0,2024-12-10 00:50:13,LABEL_1,0.9912312626838684
tolong versi login web nya di aktifin lagi biar lebih nyaman login via web nya,1,,2024-12-10 00:46:21,LABEL_0,0.9994039535522461
👍🏻,5,2.74.0,2024-12-10 00:42:06,LABEL_1,0.9997389912605286
mantap sihh,5,2.74.0,2024-12-10 00:35:47,LABEL_0,0.9995087385177612
Sangat puas dan mudah,5,,2024-12-10 00:33:49,LABEL_0,0.9999034404754639
Execelent.. Moga seterusnya memberi pelayanan terbaik( Jujur&Amanah),5,2.74.0,2024-12-10 00:30:28,LABEL_1,0.9998819828033447
Kenapa ada potongan 750 per SMS padahal tidak ada transaksi,1,2.74.0,2024-12-10 00:25:01,LABEL_0,0.9999344348907471
Mantul,5,2.74.0,2024-12-10 00:20:52,LABEL_0,0.9998998641967773
Sangat bagus dan gampang Terima kasih brimo,5,2.74.0,2024-12-10 00:20:48,LABEL_1,0.9993964433670044
Sangat memuaskan,5,2.74.0,2024-12-10 00:20:45,LABEL_0,0.9997604489326477
okkkk,5,2.74.0,2024-12-10 00:20:29,LABEL_0,0.9970229268074036
Sangat membantu,5,2.74.0,2024-12-10 00:16:48,LABEL_0,0.9348582029342651
good,5,2.72.0,2024-12-10 00:15:08,LABEL_1,0.999810516834259
Sangat cocok untuk transaksi cepat,5,2.74.0,2024-12-10 00:13:23,LABEL_1,0.9996509552001953
"Oy aku duduk ngapel, tiba tiba potongan 5k, gak ada hujan gak ada badai, asal potong aja, mahal kali, nanti coba Bank lain",1,,2024-12-10 00:11:51,LABEL_0,0.999908447265625
recomend,5,,2024-12-10 00:09:47,LABEL_0,0.9997645020484924
"Alhamdulillah saya sangat terbantu dgn kebutuhan sehari-hari seperti pulsa/kuota hp, token PLN dll.",5,2.74.0,2024-12-10 00:08:19,LABEL_1,0.9997934699058533
Sangat bermafaat,5,2.74.0,2024-12-10 00:05:50,LABEL_0,0.9996541738510132
Sekarang sering potongan biaya notifikasi 😪sehari 2500 -+ Sedikit kecewa,3,,2024-12-10 00:05:27,LABEL_0,0.9999277591705322
"ternyata brimo sangat mudah y bikin rekening tidak seperti yg lain susah,,,mantap sukses sllu buat brimo mantaaap👍👍👍",5,2.74.0,2024-12-10 00:04:26,LABEL_1,0.999840497970581
"Uang ke sedot trs disini, gajelas",1,2.74.0,2024-12-10 00:04:04,LABEL_0,0.9999231100082397
Ok,4,2.74.0,2024-12-10 00:01:20,LABEL_0,0.9997263550758362
Tidak menghujat sopan santun,1,2.74.0,2024-12-10 00:00:25,LABEL_0,0.9998934268951416
"Sangat"" membantu",5,2.74.0,2024-12-09 23:58:03,LABEL_0,0.9922375082969666
Okee sii,5,2.74.0,2024-12-09 23:52:25,LABEL_0,0.9994146823883057
Recommended simpel,5,2.74.0,2024-12-09 23:51:48,LABEL_0,0.9941750168800354
Gooood,5,2.74.0,2024-12-09 23:48:29,LABEL_0,0.997010350227356
Sangat mudah dan membantu dalam segala transaksi,5,2.74.0,2024-12-09 23:39:28,LABEL_1,0.9997338652610779
"Uangku ditarik terus setiap hari sma apk ini, knp makin hari makin banyak ditarik lagii",1,2.74.0,2024-12-09 23:30:06,LABEL_0,0.9997759461402893
"aplikasinya sangat membantu, dan ringan untuk hp saya yg jadul.",5,2.74.0,2024-12-09 23:29:52,LABEL_1,0.9995312690734863
keren,5,2.74.0,2024-12-09 23:26:20,LABEL_1,0.9998267292976379
knp aplikasi brimo saya eror ya username dan sandi yg udh saya masukin udh benar kenapa keterangannya sah terus ya,1,2.74.0,2024-12-09 23:21:23,LABEL_0,0.9998996257781982
Membantu,5,2.74.0,2024-12-09 23:18:36,LABEL_0,0.9997376799583435
Alhamdulillah. Brimo sanggar membantu untk segala hall. Brimo is the best...,4,2.72.0,2024-12-09 23:16:13,LABEL_1,0.9998729228973389
Bagus banget aplikasi ini,4,2.74.0,2024-12-09 23:11:38,LABEL_1,0.9997604489326477
Bagua,5,2.70.0,2024-12-09 23:11:28,LABEL_0,0.9989438652992249
"Kenapa masih ada biaya SMS banking, sementara info yang saya dapat SMS banking sudah di nonaktifkan dari tahun 2022?",1,2.74.0,2024-12-09 23:08:06,LABEL_0,0.9998968839645386
sangat membantu,5,2.74.0,2024-12-09 23:06:03,LABEL_0,0.9998587369918823
mantap sangat mudah dan bisa di percaya,5,2.74.0,2024-12-09 23:05:31,LABEL_0,0.9958628416061401
Sangat cepat aksesnya,5,,2024-12-09 22:59:47,LABEL_0,0.9998974800109863
"saldo hilang minimal 50k tiap hari dan paling banyak 700k tiap hari, ini bukan bank tapi tempat maling.",1,2.74.0,2024-12-09 22:59:44,LABEL_0,0.9985777139663696
Proses pembukaan rekening cepet aplikasi juga ringan,4,2.74.0,2024-12-09 22:58:02,LABEL_1,0.9580509662628174
Sangat membantu dalam berteransaksi,5,2.74.0,2024-12-09 22:53:56,LABEL_1,0.9997648596763611
Sangat puas dgn pelayanan nya,5,2.74.0,2024-12-09 22:50:41,LABEL_1,0.9977329969406128
Sangat mudah untuk transaksi,5,2.74.0,2024-12-09 22:47:54,LABEL_1,0.9995513558387756
Siip,5,2.74.0,2024-12-09 22:44:12,LABEL_0,0.9994377493858337
Mantaplah brimo,5,2.74.0,2024-12-09 22:43:38,LABEL_0,0.9998090863227844
simple,4,2.74.0,2024-12-09 22:43:29,LABEL_0,0.9998801946640015
Terima kasih atas kinerja keras bank BRI atas melayani kami.,5,2.74.0,2024-12-09 22:42:16,LABEL_1,0.999873161315918
🔥🔥🔥🔥🔥,5,,2024-12-09 22:26:39,LABEL_1,0.9997593760490417
BRIMO selalu memberikan pelayanan terbaiknya,5,2.74.0,2024-12-09 22:26:16,LABEL_1,0.9998648166656494
Aplikasi nich TOP bnget deh..pokoknya pancen oye..,5,2.74.0,2024-12-09 22:25:27,LABEL_1,0.999816358089447
Bagus,5,2.74.0,2024-12-09 22:22:41,LABEL_1,0.9978862404823303
top,5,,2024-12-09 22:22:35,LABEL_0,0.9981054067611694
Sangat membantu 👍👍👍,5,,2024-12-09 22:12:11,LABEL_1,0.9998455047607422
"Saya tidak bisa manggunakan Qris langsung ketika membuka kamera untuk di scan, barcode tidak pernah bisa dideteksi tolong perbaiki",4,2.74.0,2024-12-09 22:11:47,LABEL_0,0.999908447265625
sering bengong buat transaksi,2,2.74.0,2024-12-09 22:08:00,LABEL_0,0.999273955821991
Agak susah saat daftar ataw Poto KTP selalu gagal update,1,2.74.0,2024-12-09 22:07:52,LABEL_0,0.9999290704727173
Istimewa,5,2.74.0,2024-12-09 22:06:06,LABEL_0,0.9998979568481445
👍,5,2.74.0,2024-12-09 21:58:34,LABEL_1,0.9991810917854309
Transaksi lancar,5,2.74.0,2024-12-09 21:54:55,LABEL_1,0.9716864228248596
Mudah dapat dipahami,5,2.74.0,2024-12-09 21:50:07,LABEL_0,0.9997010231018066
Bagus,5,2.74.0,2024-12-09 21:43:33,LABEL_1,0.9978862404823303
Super,5,,2024-12-09 21:39:14,LABEL_1,0.9997768998146057
Dengan adanya brimo sudah sangat membantu dan gampang bertransaksi dri rmh.,5,2.74.0,2024-12-09 21:38:26,LABEL_1,0.999803364276886
Bagus,5,2.72.0,2024-12-09 21:37:06,LABEL_1,0.9978862404823303
Mantap,5,2.74.0,2024-12-09 21:32:13,LABEL_1,0.9820002913475037
mantap,5,2.74.0,2024-12-09 21:31:42,LABEL_0,0.9989400506019592
BRI tetap baik dan makin baik,5,2.74.0,2024-12-09 21:31:20,LABEL_1,0.999444305896759
Bagus,3,2.74.0,2024-12-09 21:30:34,LABEL_1,0.9978862404823303
Puas,5,2.74.0,2024-12-09 21:27:50,LABEL_0,0.9997637867927551
Membantu,5,,2024-12-09 21:24:36,LABEL_0,0.9997376799583435
Oke,5,2.74.0,2024-12-09 21:24:05,LABEL_0,0.9997300505638123
Terlalu mahal biaya notifikasi nya,2,2.71.1,2024-12-09 21:21:50,LABEL_0,0.9999363422393799
Sangat bagus,5,,2024-12-09 21:20:51,LABEL_0,0.999778687953949
Oke,5,2.74.0,2024-12-09 21:19:11,LABEL_0,0.9997300505638123
Memudahkan transaksi,5,2.72.0,2024-12-09 21:19:06,LABEL_1,0.9989344477653503
Aplikasi klo di update semakin bgus kegunaanya. Tpi ini mlah makin g beres. Msak wktu mau tf loading2 tros. Harus keluar dri apliksi smle tuga x baru bisa,1,2.74.0,2024-12-09 21:13:16,LABEL_0,0.9998785257339478
BRI mang ok banget,5,,2024-12-09 21:11:45,LABEL_0,0.9998138546943665
"Mohon maaf, saya mau buat rekening tapi kok setiap saya fto KTP punya sya selalu gagal",3,2.74.0,2024-12-09 21:11:07,LABEL_0,0.9999090433120728
"Transaksi apapun tidak harus ribet,alias mudah dan cepat",5,2.74.0,2024-12-09 21:07:36,LABEL_1,0.9994196891784668
Olahraga,5,2.74.0,2024-12-09 21:07:31,LABEL_1,0.9932243227958679
Transfer jadi lebih mudah dan cepat,5,2.74.0,2024-12-09 21:06:42,LABEL_1,0.9996713399887085
"Bagus,dan cepat",5,2.74.0,2024-12-09 21:06:35,LABEL_1,0.8347184062004089
Semangat terus BUMN. I love Indonesia,5,2.74.0,2024-12-09 21:05:27,LABEL_1,0.9998683929443359
Good,5,2.74.0,2024-12-09 21:05:14,LABEL_1,0.9998272061347961
Mudah di gunakan,5,2.74.0,2024-12-09 21:04:29,LABEL_0,0.9999090433120728
Kenapa ya kok laporan nya suka telat 🤔 laporan keuangan juga telat terus kenapa ya?,4,,2024-12-09 21:01:52,LABEL_0,0.9999209642410278
Cepat dan mudah,5,2.74.0,2024-12-09 21:00:06,LABEL_1,0.9995518326759338
Mantap,5,2.74.0,2024-12-09 20:58:01,LABEL_1,0.9820002913475037
"Bagus, memudahkan dalam transaksi kalo lagi gabisa kemana²..",5,,2024-12-09 20:57:54,LABEL_1,0.7497469186782837
Lengkap bisa buka blokiran rekening..gak perlu jauh ke bank deh......sukses,5,2.74.0,2024-12-09 20:54:02,LABEL_1,0.9996880292892456
Mantappppppp,5,2.74.0,2024-12-09 20:53:19,LABEL_0,0.9997227787971497
👍👍👍,5,2.74.0,2024-12-09 20:53:12,LABEL_1,0.999293327331543
Terima Kasih,5,2.74.0,2024-12-09 20:49:41,LABEL_1,0.9991990923881531
Coba pakai brimo lancar GK nya,5,,2024-12-09 20:49:09,LABEL_1,0.7276586890220642
Boleh lah,5,,2024-12-09 20:48:18,LABEL_1,0.9990841150283813
"saya sangat kecewa dengan BRIMO.. SAYA SARANKAN KEPADA SEMUA ORANG MENDING PAKAI BANK BCA, KARENA DI BRIMO SALDO NYA TIDAK DAPAT DI TARIK SEMUA MINIMAL HARUS NGENDAP 25.000 .BEDA DENGAN BANK BCA BISA DITARIK SEMUA SAMPAI 0 PERAK PUN BISA. INI ANEH BRIMO GILIRAN SAYA MAU TARIK UANG 50 RIBU PADAHAL SISA SALDO SAYA 70 RIBUAN TETEP TIDAK BISA, TAPI GILIRAN PIHAK BRIMO NYA MAEN SE ENAKNYA SAJA POTONG POTONG SALDO SAMPAI TERKURAS SEMUA ANJINK",1,,2024-12-09 20:45:42,LABEL_0,0.9999213218688965
good,5,,2024-12-09 20:45:21,LABEL_1,0.999810516834259
Good,5,2.74.0,2024-12-09 20:41:13,LABEL_1,0.9998272061347961
Sangat membantu,5,2.74.0,2024-12-09 20:40:50,LABEL_0,0.9348582029342651
Mohon ditambahkan nominal 50 ribu untuk tarik tunai di ATM. Sekian dan Terimakasih.,4,2.74.0,2024-12-09 20:40:16,LABEL_0,0.5247766971588135
Sangat membantu,5,2.74.0,2024-12-09 20:39:56,LABEL_0,0.9348582029342651
Mudah dan cepat.... Top,5,2.74.0,2024-12-09 20:32:40,LABEL_1,0.9996823072433472
👍👍👍👍👍,5,2.74.0,2024-12-09 20:32:26,LABEL_1,0.9995461106300354
"Alhamdulilah bug sudah teratasi, buat dev brimo LANJUTKAN, dengan adanya brimo, semua kebutuhan sangat mudah. SUKSES SELALU🙏. #TERIMA KASIH #SALAM HORMAT",5,2.74.0,2024-12-09 20:30:25,LABEL_1,0.9998612403869629
Ok,5,,2024-12-09 20:26:36,LABEL_0,0.9997263550758362
Jadi lebih mudah bertransaksi segala pembayaran,5,2.74.0,2024-12-09 20:26:12,LABEL_1,0.9997139573097229
Menguntungkan,5,2.74.0,2024-12-09 20:24:56,LABEL_0,0.9956068396568298
